startedAt;prod1-1:2.29.0;source;prod1-65:2.29.1;prod1-65:2.29.2;prod1-65:2.29.3;prod1-65:2.29.9
2025-04-02 23:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 23:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 23:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 23:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 00:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 00:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 00:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 00:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 01:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 01:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 01:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 01:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 02:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 02:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 02:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 02:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 03:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 03:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 03:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 03:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 04:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 04:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 04:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 04:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 05:00:00+00:00;0.012;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 05:15:00+00:00;0.152;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 05:30:00+00:00;0.724;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 05:45:00+00:00;0.656;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 06:00:00+00:00;0.74;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 06:15:00+00:00;1.22;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 06:30:00+00:00;2.7;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 06:45:00+00:00;3.32;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 07:00:00+00:00;3.828;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 07:15:00+00:00;4.344;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 07:30:00+00:00;4.792;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 07:45:00+00:00;5.188;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 08:00:00+00:00;5.564;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 08:15:00+00:00;5.964;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 08:30:00+00:00;6.316;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 08:45:00+00:00;6.596;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 09:00:00+00:00;6.872;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 09:15:00+00:00;7.116;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 09:30:00+00:00;7.316;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 09:45:00+00:00;7.352;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 10:00:00+00:00;7.424;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 10:15:00+00:00;7.508;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 10:30:00+00:00;7.468;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 10:45:00+00:00;7.496;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 11:00:00+00:00;7.452;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 11:15:00+00:00;7.252;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 11:30:00+00:00;7.104;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 11:45:00+00:00;7.036;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 12:00:00+00:00;6.952;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 12:15:00+00:00;6.816;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 12:30:00+00:00;6.572;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 12:45:00+00:00;6.26;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 13:00:00+00:00;6.004;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 13:15:00+00:00;5.656;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 13:30:00+00:00;5.284;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 13:45:00+00:00;4.904;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 14:00:00+00:00;4.532;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 14:15:00+00:00;4.104;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 14:30:00+00:00;3.664;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 14:45:00+00:00;3.132;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 15:00:00+00:00;2.268;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 15:15:00+00:00;1.5;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 15:30:00+00:00;1.172;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 15:45:00+00:00;0.804;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 16:00:00+00:00;0.552;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 16:15:00+00:00;0.428;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 16:30:00+00:00;0.364;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 16:45:00+00:00;0.304;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 17:00:00+00:00;0.244;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 17:15:00+00:00;0.176;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 17:30:00+00:00;0.108;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 17:45:00+00:00;0.04;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 18:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 18:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 18:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 18:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 19:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 19:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 19:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 19:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 20:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 20:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 20:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 20:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 21:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 21:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 21:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 21:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 22:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 22:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 22:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 22:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 23:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 23:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 23:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-03 23:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 00:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 00:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 00:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 00:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 01:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 01:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 01:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 01:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 02:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 02:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 02:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 02:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 03:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 03:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-04 03:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
