startedAt;valueprodshared;valueprodshared;valueprodshared
;df-prod-Gaby;df-prod-MarcNord;df-prod-Véronique
2025-04-04 22:00:00+00:00;0.0;0.0;0.0
2025-04-04 22:15:00+00:00;0.0;0.0;0.0
2025-04-04 22:30:00+00:00;0.0;0.0;0.0
2025-04-04 22:45:00+00:00;0.0;0.0;0.0
2025-04-04 23:00:00+00:00;0.0;0.0;0.0
2025-04-04 23:15:00+00:00;0.0;0.0;0.0
2025-04-04 23:30:00+00:00;0.0;0.0;0.0
2025-04-04 23:45:00+00:00;0.0;0.0;0.0
2025-04-05 00:00:00+00:00;0.0;0.0;0.0
2025-04-05 00:15:00+00:00;0.0;0.0;0.0
2025-04-05 00:30:00+00:00;0.0;0.0;0.0
2025-04-05 00:45:00+00:00;0.0;0.0;0.0
2025-04-05 01:00:00+00:00;0.0;0.0;0.0
2025-04-05 01:15:00+00:00;0.0;0.0;0.0
2025-04-05 01:30:00+00:00;0.0;0.0;0.0
2025-04-05 01:45:00+00:00;0.0;0.0;0.0
2025-04-05 02:00:00+00:00;0.0;0.0;0.0
2025-04-05 02:15:00+00:00;0.0;0.0;0.0
2025-04-05 02:30:00+00:00;0.0;0.0;0.0
2025-04-05 02:45:00+00:00;0.0;0.0;0.0
2025-04-05 03:00:00+00:00;0.0;0.0;0.0
2025-04-05 03:15:00+00:00;0.0;0.0;0.0
2025-04-05 03:30:00+00:00;0.0;0.0;0.0
2025-04-05 03:45:00+00:00;0.0;0.0;0.0
2025-04-05 04:00:00+00:00;0.0;0.0;0.0
2025-04-05 04:15:00+00:00;0.0;0.0;0.0
2025-04-05 04:30:00+00:00;0.0;0.0;0.0
2025-04-05 04:45:00+00:00;0.0;0.0;0.0
2025-04-05 05:00:00+00:00;0.0;0.0;0.0
2025-04-05 05:15:00+00:00;0.0;0.0;0.0
2025-04-05 05:30:00+00:00;0.0;0.0;0.0
2025-04-05 05:45:00+00:00;0.0;0.0;0.0
2025-04-05 06:00:00+00:00;0.0;0.0;0.0
2025-04-05 06:15:00+00:00;0.0;0.0;1.94
2025-04-05 06:30:00+00:00;0.0;0.0;1.828
2025-04-05 06:45:00+00:00;0.0;0.0;0.0
2025-04-05 07:00:00+00:00;0.0;0.0;0.0
2025-04-05 07:15:00+00:00;0.0;0.0;4.088
2025-04-05 07:30:00+00:00;0.0;0.0;4.544
2025-04-05 07:45:00+00:00;0.0;0.0;4.876
2025-04-05 08:00:00+00:00;0.0;0.02;0.968
2025-04-05 08:15:00+00:00;0.0;0.024;2.892
2025-04-05 08:30:00+00:00;0.0;0.012;2.456
2025-04-05 08:45:00+00:00;0.0;0.0;2.988
2025-04-05 09:00:00+00:00;0.02;0.008;0.872
2025-04-05 09:15:00+00:00;0.213;0.002;0.397
2025-04-05 09:30:00+00:00;0.862;0.006;0.168
2025-04-05 09:45:00+00:00;0.509;0.005;1.034
2025-04-05 10:00:00+00:00;0.15;0.004;1.018
2025-04-05 10:15:00+00:00;0.465;0.003;0.904
2025-04-05 10:30:00+00:00;0.283;0.002;0.567
2025-04-05 10:45:00+00:00;0.561;0.003;0.848
2025-04-05 11:00:00+00:00;0.778;0.003;0.879
2025-04-05 11:15:00+00:00;0.658;0.004;1.034
2025-04-05 11:30:00+00:00;1.205;0.006;1.713
2025-04-05 11:45:00+00:00;0.318;0.002;0.396
2025-04-05 12:00:00+00:00;0.201;0.002;0.421
2025-04-05 12:15:00+00:00;0.212;0.002;0.45
2025-04-05 12:30:00+00:00;0.786;0.004;0.826
2025-04-05 12:45:00+00:00;0.956;0.008;2.072
2025-04-05 13:00:00+00:00;0.456;0.002;0.494
2025-04-05 13:15:00+00:00;0.251;0.001;0.184
2025-04-05 13:30:00+00:00;0.267;0.001;0.192
2025-04-05 13:45:00+00:00;0.235;0.001;0.172
2025-04-05 14:00:00+00:00;0.287;0.001;0.208
2025-04-05 14:15:00+00:00;0.303;0.001;0.18
2025-04-05 14:30:00+00:00;0.415;0.002;0.203
2025-04-05 14:45:00+00:00;0.617;0.003;0.352
2025-04-05 15:00:00+00:00;0.593;0.003;0.272
