startedAt;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;total_sum_cons;percentage_prod;percentage_prod;valueprod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Véronique;power_used_by_community;has_to_pay-Véronique;community_power_used-Christian;has_to_pay-Christian;community_power_used-Marc;has_to_pay-Marc;power_sold_to_grid;has_to_receive-Véronique;has_to_receive-Marc;sun_visible
;df-cons-Christian;df-cons-Marc;df-cons-Véronique;df-cons-Christian;df-cons-Marc;df-cons-Véronique;;df-prod-Marc;df-prod-Véronique;df-prod-Marc;df-prod-Véronique;;;;;;;;;;;;;;;;
2025-01-22 12:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 13:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 13:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 13:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 13:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 14:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 14:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 14:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 14:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 15:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 15:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 15:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 15:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 16:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 16:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 16:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 16:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 17:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
