startedAt;valueprodauto;valueprodauto
;df-prod-Gaby;df-prod-Véronique
2025-04-05 04:15:00+00:00;0.0;0.0
2025-04-05 04:30:00+00:00;0.0;0.0
2025-04-05 04:45:00+00:00;0.0;0.0
2025-04-05 05:00:00+00:00;0.0;0.036
2025-04-05 05:15:00+00:00;0.0;0.356
2025-04-05 05:30:00+00:00;0.0;0.86
2025-04-05 05:45:00+00:00;0.024;1.416
2025-04-05 06:00:00+00:00;0.112;1.964
2025-04-05 06:15:00+00:00;0.176;0.468
2025-04-05 06:30:00+00:00;0.212;0.468
2025-04-05 06:45:00+00:00;0.356;3.508
2025-04-05 07:00:00+00:00;0.604;3.988
2025-04-05 07:15:00+00:00;0.936;0.328
2025-04-05 07:30:00+00:00;1.348;0.296
2025-04-05 07:45:00+00:00;1.844;0.336
2025-04-05 08:00:00+00:00;2.364;4.62
2025-04-05 08:15:00+00:00;2.896;3.096
2025-04-05 08:30:00+00:00;3.408;0.324
2025-04-05 08:45:00+00:00;3.92;0.272
2025-04-05 09:00:00+00:00;4.244;0.3
2025-04-05 09:15:00+00:00;1.64;1.148
2025-04-05 09:30:00+00:00;1.976;6.64
2025-04-05 09:45:00+00:00;3.512;3.084
2025-04-05 10:00:00+00:00;5.192;2.052
2025-04-05 10:15:00+00:00;3.552;2.132
2025-04-05 10:30:00+00:00;3.04;0.436
2025-04-05 10:45:00+00:00;2.032;0.252
2025-04-05 11:00:00+00:00;1.32;1.016
2025-04-05 11:15:00+00:00;2.804;0.516
2025-04-05 11:30:00+00:00;2.54;0.448
2025-04-05 11:45:00+00:00;2.988;1.588
2025-04-05 12:00:00+00:00;4.732;1.196
2025-04-05 12:15:00+00:00;4.612;0.504
2025-04-05 12:30:00+00:00;1.972;0.692
2025-04-05 12:45:00+00:00;4.904;0.304
2025-04-05 13:00:00+00:00;2.74;0.736
2025-04-05 13:15:00+00:00;2.764;2.324
2025-04-05 13:30:00+00:00;0.784;0.672
2025-04-05 13:45:00+00:00;0.776;0.272
2025-04-05 14:00:00+00:00;0.912;0.268
2025-04-05 14:15:00+00:00;0.928;0.66
2025-04-05 14:30:00+00:00;0.892;0.936
2025-04-05 14:45:00+00:00;0.908;0.32
2025-04-05 15:00:00+00:00;0.512;0.312
2025-04-05 15:15:00+00:00;0.572;0.32
2025-04-05 15:30:00+00:00;0.492;0.36
2025-04-05 15:45:00+00:00;0.42;0.32
2025-04-05 16:00:00+00:00;0.624;0.648
2025-04-05 16:15:00+00:00;0.868;0.744
2025-04-05 16:30:00+00:00;4.02;0.428
2025-04-05 16:45:00+00:00;1.088;0.376
2025-04-05 17:00:00+00:00;0.784;0.376
2025-04-05 17:15:00+00:00;0.588;0.26
2025-04-05 17:30:00+00:00;0.572;0.196
2025-04-05 17:45:00+00:00;0.056;0.088
2025-04-05 18:00:00+00:00;0.0;0.02
2025-04-05 18:15:00+00:00;0.0;0.0
2025-04-05 18:30:00+00:00;0.0;0.0
2025-04-05 18:45:00+00:00;0.0;0.0
2025-04-05 19:00:00+00:00;0.0;0.0
2025-04-05 19:15:00+00:00;0.0;0.0
2025-04-05 19:30:00+00:00;0.0;0.0
2025-04-05 19:45:00+00:00;0.0;0.0
2025-04-05 20:00:00+00:00;0.0;0.0
2025-04-05 20:15:00+00:00;0.0;0.0
2025-04-05 20:30:00+00:00;0.0;0.0
2025-04-05 20:45:00+00:00;0.0;0.0
2025-04-05 21:00:00+00:00;0.0;0.0
2025-04-05 21:15:00+00:00;0.0;0.0
2025-04-05 21:30:00+00:00;0.0;0.0
2025-04-05 21:45:00+00:00;0.0;0.0
2025-04-05 22:00:00+00:00;0.0;0.0
2025-04-05 22:15:00+00:00;0.0;0.0
2025-04-05 22:30:00+00:00;0.0;0.0
2025-04-05 22:45:00+00:00;0.0;0.0
2025-04-05 23:00:00+00:00;0.0;0.0
2025-04-05 23:15:00+00:00;0.0;0.0
2025-04-05 23:30:00+00:00;0.0;0.0
2025-04-05 23:45:00+00:00;0.0;0.0
2025-04-06 00:00:00+00:00;0.0;0.0
2025-04-06 00:15:00+00:00;0.0;0.0
2025-04-06 00:30:00+00:00;0.0;0.0
2025-04-06 00:45:00+00:00;0.0;0.0
2025-04-06 01:00:00+00:00;0.0;0.0
2025-04-06 01:15:00+00:00;0.0;0.0
2025-04-06 01:30:00+00:00;0.0;0.0
2025-04-06 01:45:00+00:00;0.0;0.0
2025-04-06 02:00:00+00:00;0.0;0.0
2025-04-06 02:15:00+00:00;0.0;0.0
2025-04-06 02:30:00+00:00;0.0;0.0
2025-04-06 02:45:00+00:00;0.0;0.0
2025-04-06 03:00:00+00:00;0.0;0.0
2025-04-06 03:15:00+00:00;0.0;0.0
2025-04-06 03:30:00+00:00;0.0;0.0
2025-04-06 03:45:00+00:00;0.0;0.0
2025-04-06 04:00:00+00:00;0.0;0.0
2025-04-06 04:15:00+00:00;0.0;0.0
2025-04-06 04:30:00+00:00;0.0;0.0
2025-04-06 04:45:00+00:00;0.0;0.0
2025-04-06 05:00:00+00:00;0.0;0.1
2025-04-06 05:15:00+00:00;0.0;0.576
2025-04-06 05:30:00+00:00;0.0;1.156
2025-04-06 05:45:00+00:00;0.024;0.188
2025-04-06 06:00:00+00:00;0.08;2.32
