startedAt;valueprodauto;source
2025-04-04 18:00:00+00:00;0.004;df-prod-Véronique
2025-04-04 18:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 18:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 18:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 19:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 19:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 19:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 19:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 20:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 20:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 20:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 20:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 21:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 21:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 21:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 21:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 22:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 22:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 22:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 22:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 23:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 23:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 23:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 23:45:00+00:00;0.0;df-prod-Véronique
2025-04-05 00:00:00+00:00;0.0;df-prod-Véronique
2025-04-05 00:15:00+00:00;0.0;df-prod-Véronique
2025-04-05 00:30:00+00:00;0.0;df-prod-Véronique
2025-04-05 00:45:00+00:00;0.0;df-prod-Véronique
2025-04-05 01:00:00+00:00;0.0;df-prod-Véronique
2025-04-05 01:15:00+00:00;0.0;df-prod-Véronique
2025-04-05 01:30:00+00:00;0.0;df-prod-Véronique
2025-04-05 01:45:00+00:00;0.0;df-prod-Véronique
2025-04-05 02:00:00+00:00;0.0;df-prod-Véronique
2025-04-05 02:15:00+00:00;0.0;df-prod-Véronique
2025-04-05 02:30:00+00:00;0.0;df-prod-Véronique
2025-04-05 02:45:00+00:00;0.0;df-prod-Véronique
2025-04-05 03:00:00+00:00;0.0;df-prod-Véronique
2025-04-05 03:15:00+00:00;0.0;df-prod-Véronique
2025-04-05 03:30:00+00:00;0.0;df-prod-Véronique
2025-04-05 03:45:00+00:00;0.0;df-prod-Véronique
2025-04-05 04:00:00+00:00;0.0;df-prod-Véronique
2025-04-05 04:15:00+00:00;0.0;df-prod-Véronique
2025-04-05 04:30:00+00:00;0.0;df-prod-Véronique
2025-04-05 04:45:00+00:00;0.0;df-prod-Véronique
2025-04-05 05:00:00+00:00;0.036;df-prod-Véronique
2025-04-05 05:15:00+00:00;0.356;df-prod-Véronique
2025-04-05 05:30:00+00:00;0.86;df-prod-Véronique
2025-04-05 05:45:00+00:00;1.416;df-prod-Véronique
2025-04-05 06:00:00+00:00;1.964;df-prod-Véronique
2025-04-05 06:15:00+00:00;0.468;df-prod-Véronique
2025-04-05 06:30:00+00:00;0.468;df-prod-Véronique
2025-04-05 06:45:00+00:00;3.508;df-prod-Véronique
2025-04-05 07:00:00+00:00;3.988;df-prod-Véronique
2025-04-05 07:15:00+00:00;0.328;df-prod-Véronique
2025-04-05 07:30:00+00:00;0.296;df-prod-Véronique
2025-04-05 07:45:00+00:00;0.336;df-prod-Véronique
2025-04-05 08:00:00+00:00;4.62;df-prod-Véronique
2025-04-05 08:15:00+00:00;3.096;df-prod-Véronique
2025-04-05 08:30:00+00:00;0.324;df-prod-Véronique
2025-04-05 08:45:00+00:00;0.272;df-prod-Véronique
2025-04-05 09:00:00+00:00;0.3;df-prod-Véronique
2025-04-05 09:15:00+00:00;1.148;df-prod-Véronique
2025-04-05 09:30:00+00:00;6.64;df-prod-Véronique
2025-04-05 09:45:00+00:00;3.084;df-prod-Véronique
2025-04-05 10:00:00+00:00;2.052;df-prod-Véronique
2025-04-05 10:15:00+00:00;2.132;df-prod-Véronique
2025-04-05 10:30:00+00:00;0.436;df-prod-Véronique
2025-04-05 10:45:00+00:00;0.252;df-prod-Véronique
2025-04-05 11:00:00+00:00;1.016;df-prod-Véronique
2025-04-05 11:15:00+00:00;0.516;df-prod-Véronique
2025-04-05 11:30:00+00:00;0.448;df-prod-Véronique
2025-04-05 11:45:00+00:00;1.588;df-prod-Véronique
2025-04-05 12:00:00+00:00;1.196;df-prod-Véronique
2025-04-05 12:15:00+00:00;0.504;df-prod-Véronique
2025-04-05 12:30:00+00:00;0.692;df-prod-Véronique
2025-04-05 12:45:00+00:00;0.304;df-prod-Véronique
2025-04-05 13:00:00+00:00;0.736;df-prod-Véronique
2025-04-05 13:15:00+00:00;2.324;df-prod-Véronique
2025-04-05 13:30:00+00:00;0.672;df-prod-Véronique
2025-04-05 13:45:00+00:00;0.272;df-prod-Véronique
2025-04-05 14:00:00+00:00;0.268;df-prod-Véronique
2025-04-05 14:15:00+00:00;0.66;df-prod-Véronique
2025-04-05 14:30:00+00:00;0.936;df-prod-Véronique
2025-04-05 14:45:00+00:00;0.32;df-prod-Véronique
2025-04-05 15:00:00+00:00;0.312;df-prod-Véronique
2025-04-05 15:15:00+00:00;0.32;df-prod-Véronique
2025-04-05 15:30:00+00:00;0.36;df-prod-Véronique
2025-04-05 15:45:00+00:00;0.32;df-prod-Véronique
2025-04-05 16:00:00+00:00;0.648;df-prod-Véronique
