startedAt,prod_Véronique_1-1:2.29.0,prod_Marc_1-1:2.29.0,prod_Gaby_1-1:2.29.0,prod_Pit_1-1:2.29.0,prod_Madalin_1-1:2.29.0,prod_Véronique_1-65:2.29.1,prod_Véronique_1-65:2.29.2,prod_Marc_1-65:2.29.2,prod_Gaby_1-65:2.29.2,prod_Pit_1-65:2.29.2,prod_Madalin_1-65:2.29.2,prod_Gaby_1-65:2.29.3,prod_Véronique_1-65:2.29.4,prod_Marc_1-65:2.29.4,prod_Gaby_1-65:2.29.4,prod_Pit_1-65:2.29.4,prod_Madalin_1-65:2.29.4,prod_Véronique_1-65:2.29.9,prod_Marc_1-65:2.29.9,prod_Gaby_1-65:2.29.9,prod_Pit_1-65:2.29.9,prod_Madalin_1-65:2.29.9,cons_Sebastien_1-1:1.29.0,cons_Jessica_1-1:1.29.0,cons_Sebastien_1-65:1.29.4,cons_Jessica_1-65:1.29.4,cons_Sebastien_1-65:1.29.8,cons_Jessica_1-65:1.29.8,cons_Sebastien_1-65:1.29.9,cons_Jessica_1-65:1.29.9,sum_1-1:2.29.0,sum_1-65:2.29.1,sum_1-65:2.29.2,sum_1-65:2.29.3,sum_1-65:2.29.4,sum_1-65:2.29.9,sum_1-1:1.29.0,sum_1-65:1.29.4,sum_1-65:1.29.8,sum_1-65:1.29.9
2025-06-01 11:15:00+00:00,6.576,0.032,9.472,7.708,5.576,0.736,0.25,0.001,0.371,0.33,0.08,0.808,,,,,,5.59,0.031,,7.378,5.496,0.128,0.076,,,,,,,29.363999999999997,0.736,1.032,0.808,0.0,18.494999999999997,0.20400000000000001,0.0,0.0,0.0
2025-06-01 11:30:00+00:00,6.044,0.044,9.112,6.944,5.284,0.74,0.23,0.002,0.363,0.301,0.112,0.724,,,,,,5.074,0.042,,6.643,5.172,0.1,0.172,,,,,,,27.427999999999997,0.74,1.008,0.724,0.0,16.931,0.272,0.0,0.0,0.0
2025-06-01 11:45:00+00:00,6.32,0.032,9.376,7.268,5.576,1.372,0.199,0.001,0.356,0.292,0.168,0.52,,,,,,4.749,0.031,,6.976,5.408,0.104,0.164,,,,,,,28.572,1.372,1.016,0.52,0.0,17.164,0.268,0.0,0.0,0.0
2025-06-01 12:00:00+00:00,6.696,0.028,10.32,7.884,6.012,0.952,0.312,0.002,0.522,0.428,0.108,0.708,,,,,,5.432,0.026,,7.456,5.904,0.136,0.16,,,,,,,30.94,0.952,1.372,0.708,0.0,18.818,0.29600000000000004,0.0,0.0,0.0
2025-06-01 12:15:00+00:00,6.68,0.028,10.688,7.788,6.072,0.792,0.225,0.001,0.389,0.297,0.084,0.492,,,,,,5.663,0.027,,7.491,5.988,0.14,0.104,,,,,,,31.256,0.792,0.9959999999999999,0.492,0.0,19.169,0.244,0.0,0.0,0.0
2025-06-01 12:30:00+00:00,6.624,0.028,10.82,7.632,5.96,0.776,0.23,0.001,0.4,0.301,0.1,0.66,,,,,,5.618,0.027,,7.331,5.86,0.148,0.076,,,,,,,31.064,0.776,1.032,0.66,0.0,18.836000000000002,0.22399999999999998,0.0,0.0,0.0
2025-06-01 12:45:00+00:00,6.024,0.024,10.184,6.82,5.576,0.776,0.441,0.002,0.759,0.574,0.132,1.16,,,,,,4.807,0.022,,6.246,5.444,0.148,0.068,,,,,,,28.628,0.776,1.908,1.16,0.0,16.519000000000002,0.216,0.0,0.0,0.0
2025-06-01 13:00:00+00:00,5.808,0.028,10.156,6.5,5.5,0.764,0.829,0.005,1.383,1.067,0.116,1.74,,,,,,4.215,0.023,,5.433,5.384,0.508,0.08,,,,,,,27.992,0.764,3.4,1.74,0.0,15.055,0.588,0.0,0.0,0.0
2025-06-01 13:15:00+00:00,5.544,0.028,10.076,5.992,5.316,0.744,0.403,0.002,0.788,0.503,0.08,0.684,,,,,,4.397,0.026,,5.489,5.236,1.912,0.164,,,,,,,26.956,0.744,1.7760000000000002,0.684,0.0,15.148,2.076,0.0,0.0,0.0
2025-06-01 13:30:00+00:00,5.248,1.612,9.896,5.164,5.04,0.788,0.28,0.101,0.574,0.325,0.092,0.764,,,,,,4.18,1.511,,4.839,4.948,1.956,0.16,,,,,,,26.96,0.788,1.372,0.764,0.0,15.478000000000002,2.116,0.0,0.0,0.0
2025-06-01 13:45:00+00:00,5.2,3.788,10.108,4.892,5.092,0.924,0.417,0.369,0.926,0.476,0.128,0.608,,,,,,3.859,3.419,,4.416,4.964,2.044,0.16,,,,,,,29.08,0.924,2.3160000000000003,0.608,0.0,16.658,2.204,0.0,0.0,0.0
2025-06-01 14:00:00+00:00,4.404,3.352,8.992,1.916,4.428,0.816,0.328,0.306,0.715,0.175,0.136,1.176,,,,,,3.26,3.046,,1.741,4.292,0.944,0.1,,,,,,,23.092000000000002,0.816,1.6600000000000001,1.176,0.0,12.338999999999999,1.044,0.0,0.0,0.0
2025-06-01 14:15:00+00:00,3.956,3.132,8.46,0.8,4.108,0.868,0.296,0.301,0.782,0.077,0.112,0.304,,,,,,2.792,2.831,,0.723,3.996,0.46,0.068,,,,,,,20.456000000000003,0.868,1.568,0.304,0.0,10.341999999999999,0.528,0.0,0.0,0.0
2025-06-01 14:30:00+00:00,3.672,2.936,8.364,2.584,4.02,0.784,0.217,0.221,0.596,0.194,0.08,0.428,,,,,,2.671,2.715,,2.39,3.94,0.376,0.072,,,,,,,21.576,0.784,1.308,0.428,0.0,11.716,0.448,0.0,0.0,0.0
2025-06-01 14:45:00+00:00,3.736,0.412,9.12,3.36,4.18,0.74,0.179,0.025,0.524,0.2,0.132,0.34,,,,,,2.817,0.387,,3.16,4.048,0.172,0.08,,,,,,,20.808,0.74,1.06,0.34,0.0,10.412,0.252,0.0,0.0,0.0
2025-06-01 15:00:00+00:00,2.44,0.036,5.716,2.368,2.712,0.736,0.194,0.004,0.605,0.269,0.128,0.404,,,,,,1.51,0.032,,2.099,2.584,0.368,0.212,,,,,,,13.272,0.736,1.2000000000000002,0.404,0.0,6.225,0.58,0.0,0.0,0.0
2025-06-01 15:15:00+00:00,2.42,0.036,5.344,2.384,2.616,0.736,0.208,0.004,0.597,0.295,0.116,0.52,,,,,,1.476,0.032,,2.089,2.5,2.16,0.296,,,,,,,12.8,0.736,1.22,0.52,0.0,6.0969999999999995,2.456,0.0,0.0,0.0
2025-06-01 15:30:00+00:00,2.184,0.024,7.82,1.908,3.264,0.692,0.142,0.002,0.697,0.183,0.104,0.52,,,,,,1.35,0.022,,1.725,3.16,3.136,0.296,,,,,,,15.2,0.692,1.1280000000000001,0.52,0.0,6.257000000000001,3.432,0.0,0.0,0.0
2025-06-01 15:45:00+00:00,1.528,0.024,7.756,0.904,2.888,0.696,0.082,0.002,0.706,0.09,0.124,0.636,,,,,,0.75,0.022,,0.814,2.764,1.2,0.228,,,,,,,13.1,0.696,1.004,0.636,0.0,4.35,1.428,0.0,0.0,0.0
